_id,Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,UpperBound,LowerBound,Source,[Units],FootNote,BasePeriod
677e3296a51162faef386afe,3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,360,Indonesia,2000,298.56935,2000,361.69321,246.37914,"Estimates by WHO, UNICEF, UNFPA, World Bank Group and UNDESA/Population Division. Geneva: World Health Organization; 2023.",PER_100000_LIVE_BIRTHS,,
677e3296a51162faef386aff,3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,360,Indonesia,2001,283.90351,2001,344.69642,233.87991,"Estimates by WHO, UNICEF, UNFPA, World Bank Group and UNDESA/Population Division. Geneva: World Health Organization; 2023.",PER_100000_LIVE_BIRTHS,,
677e3296a51162faef386b00,3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,360,Indonesia,2002,286.32759,2002,348.22721,234.28908,"Estimates by WHO, UNICEF, UNFPA, World Bank Group and UNDESA/Population Division. Geneva: World Health Organization; 2023.",PER_100000_LIVE_BIRTHS,,
677e3296a51162faef386b01,3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,360,Indonesia,2003,268.54469,2003,326.48202,219.6515,"Estimates by WHO, UNICEF, UNFPA, World Bank Group and UNDESA/Population Division. Geneva: World Health Organization; 2023.",PER_100000_LIVE_BIRTHS,,
677e3296a51162faef386b02,3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,360,Indonesia,2004,284.09328,2004,385.3969,209.35424,"Estimates by WHO, UNICEF, UNFPA, World Bank Group and UNDESA/Population Division. Geneva: World Health Organization; 2023.",PER_100000_LIVE_BIRTHS,,
677e3296a51162faef386b03,3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,360,Indonesia,2005,276.13935,2005,338.33875,226.10029,"Estimates by WHO, UNICEF, UNFPA, World Bank Group and UNDESA/Population Division. Geneva: World Health Organization; 2023.",PER_100000_LIVE_BIRTHS,,
677e3296a51162faef386b04,3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,360,Indonesia,2006,254.02721,2006,313.88826,206.55574,"Estimates by WHO, UNICEF, UNFPA, World Bank Group and UNDESA/Population Division. Geneva: World Health Organization; 2023.",PER_100000_LIVE_BIRTHS,,
677e3296a51162faef386b05,3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,360,Indonesia,2007,251.27333,2007,312.53142,202.70417,"Estimates by WHO, UNICEF, UNFPA, World Bank Group and UNDESA/Population Division. Geneva: World Health Organization; 2023.",PER_100000_LIVE_BIRTHS,,
677e3296a51162faef386b06,3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,360,Indonesia,2008,256.11855,2008,322.59571,205.24795,"Estimates by WHO, UNICEF, UNFPA, World Bank Group and UNDESA/Population Division. Geneva: World Health Organization; 2023.",PER_100000_LIVE_BIRTHS,,
677e3296a51162faef386b07,3,3.1,3.1.1,SH_STA_MORT,Maternal mortality ratio,360,Indonesia,2009,241.18783,2009,308.81297,191.50252,"Estimates by WHO, UNICEF, UNFPA, World Bank Group and UNDESA/Population Division. Geneva: World Health Organization; 2023.",PER_100000_LIVE_BIRTHS,,
